Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_2.1,Iteration_3.1,Iteration_4.1,Iteration_5.1,Iteration_6.1,Iteration_7.1,Iteration_8.1,Iteration_9.1,Iteration_10.1,Iteration_11
Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm)
Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Soil K Horiba (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm)
Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap NO3 (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm)
Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm),Soil Ca Horiba (ppm)
Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Sap Na (ppm),Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba,Soil pH Horiba
Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm),Soil Conductivity Horiba (mS/cm)
Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD),Chlorophyll (SPAD)
7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C),7in1_S_Temperature(C)
Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm)
Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Sap Conductivity (mS/cm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm),Soil NO3 Horiba (ppm)
Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Sap Ca (ppm),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C),Air_sensor_Temperature(C)
,,,,,,,,,,Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm),Soil Na Horiba (ppm)
